,BlueCars_taken_sum,BlueCars_returned_sum,Utilib_taken_sum,Utilib_returned_sum,Utilib_14_taken_sum,Utilib_14_returned_sum,Slots_freed_sum,Slots_taken_sum
14397,48,51,4,4,2,3,0,0
14398,42,37,0,0,2,3,0,0
14399,41,50,1,3,3,1,0,0
14400,27,28,2,0,3,5,0,0
14401,39,38,0,1,2,3,0,0
14402,52,51,3,3,4,2,0,0
14403,81,71,2,2,5,4,0,0
14404,45,57,3,3,8,10,0,0
14405,41,41,2,1,3,2,0,0
14406,55,55,0,0,3,3,0,0
14407,26,28,0,0,2,3,0,0
14408,31,22,0,0,1,0,0,0
14409,37,34,1,2,3,5,0,0
14410,42,53,2,1,7,5,0,0
14411,43,36,1,2,1,0,0,0
14412,37,37,2,1,1,2,0,0
14413,45,46,0,0,4,3,0,0
14414,35,35,2,2,4,4,0,0
14415,47,46,0,0,4,5,0,0
14416,34,33,2,3,4,4,0,0
14417,47,46,3,2,2,2,0,0
14418,58,63,3,3,4,4,0,0
14419,40,41,0,0,1,3,0,0
14420,30,34,1,1,4,3,0,0
14421,31,30,2,2,4,3,0,0
14422,36,29,0,0,5,5,0,0
14423,48,37,0,1,1,1,0,0
14424,3,4,0,0,0,2,0,0
14425,39,50,2,1,4,2,0,0
14426,35,23,0,0,2,2,0,0
14427,28,36,0,1,2,2,0,0
14428,56,61,1,0,4,3,0,0
14429,52,56,0,0,2,3,0,0
14430,42,42,0,0,1,1,0,0
14431,51,47,0,0,1,2,0,0
14432,24,32,2,2,3,3,0,0
14433,44,39,1,1,7,6,0,0
14434,44,42,0,1,4,5,0,0
14435,61,52,2,1,3,3,0,0
14436,54,54,0,1,6,6,0,0
14437,30,42,1,0,4,3,0,0
14438,46,42,2,2,1,3,0,0
14439,40,44,2,3,4,2,0,0
14440,34,38,1,0,4,5,0,0
14441,38,32,0,1,3,2,0,0
14442,45,44,1,1,4,3,0,0
14443,46,43,4,4,3,6,0,0
14444,26,26,2,1,2,3,0,0
14445,35,34,1,1,6,3,0,0
14446,37,39,0,0,2,2,0,0
14447,52,51,1,2,2,1,0,0
14448,38,29,3,3,7,8,0,0
14449,47,53,5,4,2,2,0,0
14450,37,47,1,1,5,7,0,0
14451,44,37,0,0,3,0,0,0
14452,34,36,0,0,1,1,0,0
14453,42,46,1,1,1,2,0,0
14454,37,35,1,1,5,6,0,0
14455,52,51,1,1,3,1,0,0
14456,29,29,2,3,5,5,0,0
14457,52,50,1,1,1,1,0,0
14458,38,37,2,1,3,6,0,0
14459,43,42,2,2,6,3,0,0
14460,34,33,1,2,5,6,0,0
14461,35,37,6,5,1,3,0,0
14462,39,33,2,2,5,2,0,0
14463,47,44,1,1,2,1,0,0
14464,52,60,5,5,1,1,0,0
14465,33,31,0,1,0,1,0,0
14466,37,35,3,2,2,1,0,0
14467,39,35,1,1,0,0,0,0
14468,27,31,0,0,0,1,0,0
14469,45,41,0,0,7,7,0,0
14470,42,40,0,0,5,4,0,0
14471,35,42,0,0,1,2,0,0
14472,29,31,0,0,3,4,0,0
14473,42,34,1,1,1,0,0,0
14474,27,34,1,1,3,3,0,0
14475,36,33,0,0,1,0,0,0
14476,40,41,1,2,0,0,0,0
14477,53,47,1,0,6,6,0,0
14478,34,41,5,5,2,2,0,0
14479,20,14,1,1,1,3,0,0
14480,21,23,0,0,5,5,0,0
14481,37,35,1,1,2,1,0,0
14482,27,25,0,1,1,0,0,0
14483,22,24,1,0,0,1,0,0
14484,35,36,0,0,2,1,0,0
14485,50,48,1,1,1,1,0,0
14486,29,29,0,0,2,2,0,0
14487,23,21,0,0,2,4,0,0
14488,40,44,0,1,4,2,0,0
14489,31,34,1,0,3,3,0,0
14490,36,41,0,0,1,1,0,0
14491,44,38,1,1,5,5,0,0
14492,38,32,4,4,5,7,0,0
14493,35,32,0,0,5,3,0,0
14494,44,42,1,1,0,0,0,0
14495,9,30,0,0,1,1,0,0
14496,37,29,0,1,1,2,0,0
14497,52,44,1,1,5,4,0,0
14498,23,28,1,0,2,2,0,0
14499,34,38,0,3,3,3,0,0
14500,39,32,4,1,4,6,0,0
14501,43,40,1,1,7,6,0,0
14502,52,54,1,1,2,1,0,0
14503,32,36,0,0,0,1,0,0
14504,28,21,1,1,4,7,0,0
14505,34,37,0,0,11,10,0,0
14506,36,42,0,1,2,2,0,0
14507,44,41,3,2,5,3,0,0
14508,55,48,2,2,6,5,0,0
14509,34,44,1,1,4,5,0,0
14510,25,26,0,3,2,2,0,0
