,Cars,Bluecar_counter,Utilib_counter,Utilib_1.4_counter,City,ID,Kind,Geo_point,Postal_code,Public_name,Rental_status,Slots,Station_type,Subscription_status,year,month,day,hour,minute
4531,1,1,0,1,Paris,paris-paradis-28,STATION,"48.8750753, 2.3523208",75010,Paris/Paradis/28,operational,1,station,nonexistent,2018,4,6,20,54
4532,5,5,0,0,Fontenay-aux-Roses,fontenayauxroses-lombard-20,STATION,"48.78919, 2.293033",92260,Fontenay-aux-Roses/Lombard/20,operational,1,station,nonexistent,2018,4,5,4,26
4533,2,2,0,0,Paris,paris-rapee-46,STATION,"48.8419525, 2.3728276",75012,Paris/Rap̩e/46,operational,4,station,nonexistent,2018,4,8,7,48
4534,3,3,0,0,Asni̬res-sur-Seine,asnieressurseine-marne-44,STATION,"48.9073637, 2.2830507",92600,Asni̬res-sur-Seine/Marne/44,operational,0,station,nonexistent,2018,4,9,2,22
4535,0,0,0,0,Romainville,romainville-communedeparis-100,STATION,"48.89449, 2.432462",93230,Romainville/Commune de Paris/100,operational,4,station,nonexistent,2018,4,5,20,2
4536,0,0,0,0,Paris,paris-matignon-2,STATION,"48.87006, 2.312597",75008,Paris/Matignon/2,operational,5,station,nonexistent,2018,4,8,14,12
4537,3,3,0,0,Ch̢tillon,chatillon-republique-140,STATION,"48.8064005, 2.2982685",92320,Ch̢tillon/R̩publique/140,operational,2,station,nonexistent,2018,4,8,6,36
4538,4,4,0,1,Bagneux,bagneux-louispasteur-17,STATION,"48.7991008, 2.3177148",92220,Bagneux/Louis Pasteur/17,operational,0,station,nonexistent,2018,4,9,5,52
4539,0,0,0,0,Paris,paris-charolais-2,STATION,"48.839191, 2.3878529",75012,Paris/Charolais/2,operational,6,station,nonexistent,2018,4,9,11,3
4540,5,5,0,0,Paris,paris-censier-14,STATION,"48.8411067, 2.3544235",75005,Paris/Censier/14,operational,1,station,nonexistent,2018,4,6,2,7
4541,1,1,0,0,Paris,paris-henrybrisson-5,STATION,"48.8984293, 2.3347923",75018,Paris/Henry Brisson/5,operational,3,station,nonexistent,2018,4,7,22,21
4542,3,3,0,0,Paris,paris-monge-58,STATION,"48.8444276, 2.3522773",75005,Paris/Monge/58,operational,0,station,nonexistent,2018,4,4,0,43
4543,0,0,0,0,Asni̬res-sur-Seine,asnieressurseine-henripoincare-53,STATION,"48.93068, 2.281273",92600,Asni̬res-sur-Seine/Henri Poincar̩/53,broken,0,station,nonexistent,2018,4,4,15,43
4544,0,0,0,0,Paris,paris-saintjacques-221,STATION,"48.8438007, 2.341924",75005,Paris/Saint-Jacques/221,operational,4,station,nonexistent,2018,4,2,18,35
4545,0,0,0,0,Paris,paris-montparnasseraspail-parking,PARKING,"48.84147, 2.33078",75014,Paris/Montparnasse Raspail/Parking,broken,0,station,nonexistent,2018,4,7,8,20
4546,0,0,0,0,Paris,paris-yvestoudic-3,STATION,"48.8693526, 2.3641292",75010,Paris/Yves Toudic/3,broken,0,station,nonexistent,2018,4,6,4,48
4547,0,0,0,0,Paris,paris-iena-63,STATION,"48.8713288, 2.295196",75016,Paris/I̩na/63,operational,5,station,nonexistent,2018,4,8,4,19
4548,0,0,0,0,Paris,paris-maine-78,SPACE,"48.8388247, 2.3221905",75014,Paris/Maine/78,operational,3,full_station,operational,2018,4,7,22,28
4549,1,1,0,0,Paris,paris-ranelagh-10,STATION,"48.8533737, 2.2794884",75016,Paris/Ranelagh/10,operational,4,station,nonexistent,2018,4,7,8,10
4550,3,3,0,0,Montreuil,montreuil-yelimane-1,STATION,"48.86016, 2.45811939",93100,Montreuil/Y̩liman̩/1,operational,2,station,nonexistent,2018,4,6,12,15
4551,4,4,0,0,Paris,paris-jeandelafontaine-77,STATION,"48.8487919, 2.2661693",75016,Paris/Jean de la Fontaine/77,operational,0,station,nonexistent,2018,4,8,0,56
4552,0,0,0,0,Colombes,colombes-renouillers-183,STATION,"48.9236342, 2.2368586",92700,Colombes/Renouillers/183,broken,0,station,nonexistent,2018,4,6,1,19
4553,0,0,2,0,Enghien-les-Bains,enghienlesbains-arrivee-19,STATION,"48.9727125, 2.3067895",95880,Enghien-les-Bains/Arriv̩e/19,operational,4,station,nonexistent,2018,4,4,11,11
4554,0,0,0,0,Paris,paris-lafayette-7,STATION,"48.87357, 2.3348418",75009,Paris/La Fayette/7,operational,4,station,nonexistent,2018,4,7,13,41
